Food intake (g/day),Diet Group
4.27,13
3.97,13
3.82,13
4.01,13
3.91,13
4.08,13
4.06,13
3.91,13
2.7,14
3.71,14
3.83,14
3.93,14
3.46,14
3.46,14
4.13,14
4.01,14
4.15,15
3.73,15
3.9,15
3.69,15
3.6,15
4.16,15
4.5,15
3.92,15
3.71,16
4.05,16
3.63,16
4.31,16
4.1,16
4.33,16
4.37,16
4.32,16
3.61,2
3.03,2
4.07,2
3.43,2
3.56,2
3.27,2
3.84,2
3.68,2
3.63,17
3.15,17
3.16,17
3.3,17
3.14,17
2.73,17
2.91,17
3.41,17
2.5,18
2.71,18
2.94,18
3.02,18
3.12,18
2.71,18
2.67,18
2.66,18
3.93,1
3.6,1
4.01,1
4.11,1
4.78,1
3.89,1
4.42,1
5.24,1
3.61,2
3.03,2
4.07,2
3.43,2
3.56,2
3.27,2
3.84,2
3.68,2
3.07,3
3.52,3
4.26,3
3.97,3
3.32,3
3.25,3
3.41,3
4.53,
3.45,4
2.94,4
3.87,4
2.8,4
3.41,4
3.54,4
3.5,4
4.18,4
,5
2.81,5
3.2,5
3.34,5
3.26,5
3.15,5
3.57,5
3.3,5
2.86,6
3.3,6
2.64,6
3.02,6
2.81,6
2.79,6
3.24,6
3.51,6
