Food intake (g/day),Diet Group
4.94,13
4.88,13
5.19,13
5.08,13
4.62,13
4.7,13
5.16,13
5.39,13
4.47,14
4.48,14
4.5,14
4.52,14
4.76,14
4.57,14
4.36,14
4.66,14
4.27,15
4.52,15
6.14,15
4.34,15
5.06,15
4.82,15
5.41,15
5.83,15
5.5,16
4.79,16
5.05,16
,16
5.34,16
4.67,16
,16
6.72,16
4.27,2
3.38,2
3.55,2
6.41,2
4.28,2
4.43,2
6.7,2
4.12,2
4.01,17
4.05,17
3.74,17
4.4,17
3.62,17
3.5,17
3.84,17
4.43,17
3.18,18
2.74,18
3.33,18
3.26,18
3.03,18
3.39,18
3.05,18
3.46,18
5,1
4.54,1
4.13,1
4.77,1
6.38,1
5.5,1
,1
,1
4.27,2
3.38,2
3.55,2
6.41,2
4.28,2
4.43,2
6.7,2
4.12,2
3.56,3
4.65,3
4.24,3
5.09,3
3.95,3
4.78,3
5.99,3
4.17,3
3.6,4
4.38,4
4.7,4
5.42,4
4.03,4
4.4,4
5.19,4
4.79,4
4.71,5
4.03,5
4.4,5
4.04,5
4.18,5
4.8,5
5.17,5
5.2,5
3.77,6
3.57,6
3.99,6
5.18,6
5.53,6
3.69,6
3.39,6
4.14,6
