Food intake (g/day),Diet Group
4.22,13
3.71,13
3.66,13
4.52,13
4.15,13
4.03,13
4.16,13
4.69,13
3.33,14
4.01,14
3.51,14
4.44,14
3.83,14
5.06,14
3.39,14
3.93,14
3.57,15
3.29,15
3.8,15
3.62,15
4.02,15
3.56,15
3.87,15
4.16,15
3.56,16
4.14,16
3.15,16
4.21,16
3.47,16
3.52,16
3.26,16
3.58,16
3.77,2
3.11,2
3.14,2
3.14,2
3.71,2
4.11,2
4.31,2
4.13,2
3.2,17
5.09,17
3.57,17
3.89,17
3.26,17
3.2,17
2.76,17
2.97,17
2.98,18
3.3,18
2.99,18
2.81,18
3.31,18
3.43,18
2.78,18
3.11,18
4.71,1
4.03,1
3.46,1
4.04,1
4.17,1
3.9,1
5.45,1
4.29,1
3.77,2
3.11,2
3.14,2
3.14,2
3.71,2
4.11,2
4.31,2
4.13,2
4.49,3
3.27,3
3.81,3
3.26,3
3.17,3
3.51,3
3.57,3
3.44,3
3.86,4
3.38,4
3.22,4
3.9,4
2.83,4
3.57,4
3.23,4
2.94,4
3.33,5
4.62,
3.53,5
2.92,5
3.31,5
3.33,5
3.66,5
3.5,5
3.06,6
5.49,6
3.03,6
3.35,6
3.28,6
3.14,6
3.59,6
3.64,6
