diet,diet.ids,energy.density,percent.P,percent.C,percent.F,Dry.P,Dry.C,Dry.F
1,D14071601,5.2,5.1,34.5,60.5,0.07,0.45,0.35
2,D14071602,5.2,10.1,29.4,60.5,0.13,0.38,0.35
3,D14071603,5.2,15.2,24.3,60.5,0.2,0.32,0.35
4,D14071604,5.2,20.2,19.3,60.5,0.26,0.25,0.35
5,D14071605,5.2,25.3,14.2,60.5,0.33,0.18,0.35
6,D14071606,5.2,30.3,9.2,60.5,0.39,0.12,0.35
7,D14071607,4,5.1,74.8,20.1,0.05,0.75,0.09
8,D14071608,4,10.1,69.7,20.1,0.1,0.7,0.09
9,D14071609,4,15.2,64.7,20.1,0.15,0.65,0.09
10,D14071610,4,20.2,59.6,20.1,0.2,0.6,0.09
11,D14071611,4,25.3,54.6,20.1,0.25,0.55,0.09
12,D14071612,4,30.3,49.5,20.1,0.3,0.5,0.09
13,D14071613,3.8,10.1,79.8,10.1,0.1,0.76,0.04
14,D14071614,4.3,10.1,59.6,30.3,0.11,0.64,0.14
15,D14071615,4.5,10.1,49.6,40.3,0.11,0.56,0.2
16,D14071616,4.8,10.1,39.5,50.4,0.12,0.48,0.27
17,D14071617,5.6,10.1,19.3,70.6,0.14,0.27,0.44
18,D14071618,5.9,9.6,14.2,76.2,0.14,0.21,0.5
19,D14071619,3.8,25.3,66.4,8.3,0.24,0.63,0.04
20,D14071620,4.1,25.3,49.5,25.2,0.26,0.51,0.12
21,D14071621,4.3,25.3,41.1,33.6,0.27,0.45,0.16
22,D14071622,4.6,25.3,32.6,42.1,0.29,0.37,0.21
23,D14071623,5.1,25.3,15.8,58.9,0.32,0.2,0.34
24,D14071624,5.5,25.3,7.5,67.3,0.34,0.1,0.41
