diet,diet.ids,energy.density,percent.P,percent.C,percent.F,Dry.P,Dry.C,Dry.F
1,D14071601,5.2,5,35,60,7,46,35
2,D14071602,5.2,10,30,60,13,39,45
3,D14071603,5.2,15,25,60,20,33,35
4,D14071604,5.2,20,20,60,26,26,35
5,D14071605,5.2,25,15,60,33,20,35
6,D14071606,5.2,30,10,60,39,13,35
7,D14071607,4,5,75,20,7,76,6
8,D14071608,4,10,70,20,13,71,9
9,D14071609,4,15,65,20,20,66,9
10,D14071610,4,20,60,20,26,61,9
11,D14071611,4,25,55,20,33,56,9
12,D14071612,4,30,50,20,39,51,9
13,D14071613,3.8,10,80,10,10,77,4
14,D14071614,4.3,10,60,30,11,65,14
15,D14071615,4.5,10,50,40,11,57,20
16,D14071616,4.8,10,40,50,12,49,27
17,D14071617,5.6,10,20,70,14,28,44
18,D14071618,6.1,30,10,80,15,15,54
19,D14071619,3.8,25,67,8.3,24,64,4
20,D14071620,4.1,25,50,25,26,52,12
21,D14071621,4.3,25,42,33.3,27,46,16
22,D14071622,4.6,25,33,41.7,29,39,21
23,D14071623,5.1,25,17,58.3,32,22,34
24,D14071624,5.5,25,8,66.6,34,12,41
