uniqueID,intake.gram,b.wt,diet
1,4.1,45.41,1
2,3.56,45.38,1
3,3.66,38.34,1
4,3.81,40.36,1
5,4.16,40.6,1
6,3.77,41.04,1
7,3.71,45.08,1
8,3.15,35.11,1
9,4.01,40.26,1
10,3.47,45.18,1
11,3.28,37.42,1
12,3.66,27.31,1
13,4.36,40.92,1
14,3.49,37.18,1
15,4.17,35.73,1
16,3.49,37.95,1
17,3.78,30.66,1
18,3.64,38.35,1
19,3.78,34.5,1
20,3.75,34.85,1
21,4.32,38.7,1
22,3.46,48.6,2
23,3.64,45.17,2
24,3.76,31.6,2
25,3.61,48.5,2
26,3.16,47.12,2
27,2.64,41.5,2
28,2.84,47.2,2
29,2.67,45.04,2
30,3.75,49.75,2
31,2.98,41.4,2
32,3.05,43.25,2
33,3.64,44.7,2
34,2.8,36.36,2
35,3.43,47.18,2
36,3.22,40.68,2
37,3.35,39.92,2
38,3.44,39.1,2
39,3.54,38.32,2
40,3.19,49.99,2
41,2.83,41.22,2
42,3.06,47.6,2
43,3.34,50.06,3
44,3.41,45.9,3
45,3.26,48.05,3
46,2.99,48.37,3
47,2.81,43.7,3
48,2.76,44.9,3
49,3.2,47.28,3
50,2.98,43.87,3
51,3.33,46.15,3
52,3.51,41.24,3
53,3.13,46.81,3
54,3.13,45.54,3
55,3.09,47.03,3
56,3.23,48.14,3
57,3.13,38.95,3
58,2.9,47.49,3
59,3.18,32.33,3
60,3.9,41.19,3
61,3.4,33.8,3
62,4.37,41.77,3
63,3.49,49.41,3
64,3.16,48.8,4
65,3.26,47.74,4
66,3.56,48.43,4
67,2.53,46.28,4
68,2.98,47.28,4
69,3.07,51.65,4
70,3.06,48.19,4
71,3.22,44.77,4
72,3.35,49.25,4
73,3.06,49.24,4
74,3.59,42.27,4
75,3.1,45.03,4
76,3.6,44.13,4
77,3.03,44.56,4
78,3.43,41.49,4
79,3.2,44.45,4
80,3.28,40.52,4
81,,37.46,4
82,3.4,40.75,4
83,3.2,42.49,4
84,2.85,45.2,4
85,2.86,38.46,5
86,3.13,48.99,5
87,2.93,48.51,5
88,2.71,48.64,5
89,3.05,45.93,5
90,3.55,52.87,5
91,2.88,41.5,5
92,3.2,45.08,5
93,3.6,42.45,5
94,2.63,43.08,5
95,,46.59,5
