p.c.f,diet,energy,diet.P,diet.C,diet.F,diet.nonP,Dry.P,Dry.C,Dry.F
60.20.20,SF09-043,LOW,5.03,1.67,1.67,3.34,0.34,0.1,0.04
60.20.20,SF09-044,MED,7.54,2.51,2.51,5.02,0.5,0.16,0.07
60.20.20,SF09-045,HIGH,10.06,3.35,3.35,6.7,0.67,0.21,0.09
5.75.20,SF09-047,MED,0.63,9.41,2.51,11.92,0.04,0.62,0.07
5.75.20,SF09-048,HIGH,0.84,12.55,3.35,15.9,0.06,0.82,0.09
5.20.75,SF09-051,HIGH,0.84,3.35,12.55,15.9,0.06,0.21,0.33
33.47.20,SF09-052,LOW,2.77,4.02,1.67,5.69,0.18,0.26,0.04
33.47.20,SF09-053,MED,4.15,6.02,2.51,8.53,0.28,0.39,0.07
33.47.20,SF09-054,HIGH,5.53,8.03,3.35,11.38,0.37,0.52,0.09
33.20.47,SF09-055,LOW,2.77,1.67,4.02,5.69,0.18,0.1,0.11
33.20.47,SF09-056,MED,4.15,2.51,6.02,8.53,0.28,0.16,0.16
33.20.47,SF09-057,HIGH,5.53,3.35,8.03,11.38,0.37,0.21,0.21
5.48.48,SF09-060,HIGH,0.84,8.03,8.03,16.06,0.06,0.52,0.21
14.29.57,SF09-061,LOW,1.17,2.43,4.77,7.2,0.08,0.15,0.13
14.29.57,SF09-062,MED,1.76,3.64,7.15,10.79,0.12,0.23,0.19
14.29.57,SF09-063,HIGH,2.35,4.85,9.54,14.39,0.16,0.31,0.25
14.57.29,SF09-064,LOW,1.17,4.77,2.43,7.2,0.08,0.31,0.06
14.57.29,SF09-065,MED,1.76,7.15,3.64,10.79,0.12,0.47,0.1
14.57.29,SF09-066,HIGH,2.35,9.54,4.85,14.39,0.16,0.62,0.13
42.29.29,SF09-067,LOW,3.52,2.43,2.43,4.86,0.23,0.15,0.06
42.29.29,SF09-068,MED,5.28,3.64,3.64,7.28,0.35,0.23,0.1
42.29.29,SF09-069,HIGH,7.04,4.85,4.85,9.7,0.47,0.31,0.13
23.38.38,SF09-070,LOW,1.93,3.18,3.18,6.36,0.13,0.2,0.08
23.38.38,SF09-071,MED,2.89,4.77,4.77,9.54,0.19,0.31,0.13
23.38.38,SF09-072,HIGH,3.86,6.36,6.36,12.72,0.26,0.41,0.17
