cage,sex,p.c.f,diet,energy,bwt,intake.gram
1,M,60.20.20,SF09-043,LOW,26.31,3.58
2,F,60.20.20,SF09-043,LOW,22.07,2.93
61,M,60.20.20,SF09-043,LOW,25.83,3.3
62,F,60.20.20,SF09-043,LOW,21.83,3.01
121,M,60.20.20,SF09-043,LOW,25.76,3.32
122,F,60.20.20,SF09-043,LOW,20.82,2.8
175,M,60.20.20,SF09-043,LOW,24.63,3.31
176,F,60.20.20,SF09-043,LOW,21.33,2.88
227,M,60.20.20,SF09-043,LOW,23.44,2.65
228,F,60.20.20,SF09-043,LOW,19.44,2.04
21,M,60.20.20,SF09-044,MED,27.67,2.5
22,F,60.20.20,SF09-044,MED,23.73,2.34
81,M,60.20.20,SF09-044,MED,27.74,2.8
82,F,60.20.20,SF09-044,MED,21.39,2.31
137,M,60.20.20,SF09-044,MED,28.98,3.05
138,F,60.20.20,SF09-044,MED,23.97,2.3
191,M,60.20.20,SF09-044,MED,31.17,3.61
192,F,60.20.20,SF09-044,MED,24.51,2.14
241,M,60.20.20,SF09-044,MED,27.67,2.61
242,F,60.20.20,SF09-044,MED,24.92,2.16
41,M,60.20.20,SF09-045,HIGH,28.91,2.57
42,F,60.20.20,SF09-045,HIGH,24.71,2.19
101,M,60.20.20,SF09-045,HIGH,29.48,2.33
102,F,60.20.20,SF09-045,HIGH,23.75,2.13
155,M,60.20.20,SF09-045,HIGH,31.72,2.56
156,F,60.20.20,SF09-045,HIGH,25.99,2.18
207,M,60.20.20,SF09-045,HIGH,27.86,2.16
208,F,60.20.20,SF09-045,HIGH,25.35,2.22
257,M,60.20.20,SF09-045,HIGH,30.51,2.12
258,F,60.20.20,SF09-045,HIGH,25.6,1.81
23,M,5.75.20,SF09-047,MED,23.64,3.38
24,F,5.75.20,SF09-047,MED,23.16,2.84
83,M,5.75.20,SF09-047,MED,24.49,3.18
84,F,5.75.20,SF09-047,MED,20.43,2.66
139,M,5.75.20,SF09-047,MED,24.97,3.02
140,F,5.75.20,SF09-047,MED,23.33,3.14
193,M,5.75.20,SF09-047,MED,25.87,3.31
194,F,5.75.20,SF09-047,MED,21.83,2.68
243,M,5.75.20,SF09-047,MED,23.24,2.96
244,F,5.75.20,SF09-047,MED,19.84,2.69
43,M,5.75.20,SF09-048,HIGH,27.12,2.91
44,F,5.75.20,SF09-048,HIGH,20.99,2.41
103,M,5.75.20,SF09-048,HIGH,25.13,2.63
104,F,5.75.20,SF09-048,HIGH,20,2.4
157,M,5.75.20,SF09-048,HIGH,26.62,2.9
158,F,5.75.20,SF09-048,HIGH,21.65,2.33
209,M,5.75.20,SF09-048,HIGH,25.48,2.38
