cage,P.C.F,diet,energy,sex,intake.gram,bwt
1,60/20/20,SF09-043,LOW,M,3.626197268,24.85
2,60/20/20,SF09-043,LOW,F,2.780719307,20.23
61,60/20/20,SF09-043,LOW,M,3.202070188,23.85
62,60/20/20,SF09-043,LOW,F,2.87432333,19.91
121,60/20/20,SF09-043,LOW,M,3.1407,23.91
122,60/20/20,SF09-043,LOW,F,2.685333333,21.56
175,60/20/20,SF09-043,LOW,M,3.064654762,23.38
176,60/20/20,SF09-043,LOW,F,3.161047247,19.87
227,60/20/20,SF09-043,LOW,M,3.48230291,24.21
228,60/20/20,SF09-043,LOW,F,3.377375661,20.77
21,60/20/20,SF09-044,MED,M,2.310894139,25.04
22,60/20/20,SF09-044,MED,F,2.157394612,21.58
81,60/20/20,SF09-044,MED,M,2.631224973,25.88
82,60/20/20,SF09-044,MED,F,1.943337753,17.47
137,60/20/20,SF09-044,MED,M,2.634214286,25.02
138,60/20/20,SF09-044,MED,F,2.45597619,20.94
191,60/20/20,SF09-044,MED,M,3.304058532,29.65
192,60/20/20,SF09-044,MED,F,2.588481399,22.31
241,60/20/20,SF09-044,MED,M,2.322787698,22.23
242,60/20/20,SF09-044,MED,F,2.210484127,20.6
41,60/20/20,SF09-045,High,M,2.362017014,25.56
42,60/20/20,SF09-045,High,F,1.874186806,19.85
101,60/20/20,SF09-045,High,M,2.210875714,24.59
102,60/20/20,SF09-045,High,F,2.089931429,22.23
155,60/20/20,SF09-045,High,M,2.579089286,24.13
156,60/20/20,SF09-045,High,F,2.008326696,20.23
207,60/20/20,SF09-045,High,M,2.325110714,24.52
208,60/20/20,SF09-045,High,F,2.107225,20.9
257,60/20/20,SF09-045,High,M,2.195990179,26.88
258,60/20/20,SF09-045,High,F,1.862343452,20.6
23,5/75/20,SF09-047,med,M,2.981562105,20.27
24,5/75/20,SF09-047,med,F,2.946180914,20.88
83,5/75/20,SF09-047,med,M,2.922181516,21.78
84,5/75/20,SF09-047,med,F,2.658991043,18.96
139,5/75/20,SF09-047,med,M,3.447409486,22.47
140,5/75/20,SF09-047,med,F,3.538218705,20.93
193,5/75/20,SF09-047,med,M,3.126315774,22.09
194,5/75/20,SF09-047,med,F,2.687001042,19.44
243,5/75/20,SF09-047,med,M,2.880669444,20.31
244,5/75/20,SF09-047,med,F,2.666922817,17.96
43,5/75/20,SF09-048,high,M,2.695178646,24.29
44,5/75/20,SF09-048,high,F,2.274193155,19.69
103,5/75/20,SF09-048,high,M,2.37801,19.77
104,5/75/20,SF09-048,high,F,1.982802857,18.86
157,5/75/20,SF09-048,high,M,2.784808929,24.38
158,5/75/20,SF09-048,high,F,2.160459643,20.88
209,5/75/20,SF09-048,high,M,2.201611607,21.93
210,5/75/20,SF09-048,high,F,2.00334375,20.07
259,5/75/20,SF09-048,high,M,2.318232143,21.82
260,5/75/20,SF09-048,high,F,1.915176,19.12
45,5/20/75,SF09-051,high,M,1.820312854,20.59
46,5/20/75,SF09-051,high,F,2.634269771,19.92
